Genotype	EV_V6	PH_V6	PH_final	DtSILK	RL_R6
DH_KE0001	5.12799293492468	76.4345782632751	145.082978094948	74.3872151199473	7.35129997345383
DH_KE0002	5.74438024051868	68.1098844676722	131.953303787172	76.0266345657864	8.65482546007645
DH_KE0003	5.42272351842733	72.1134092332044	164.26337506371	73.7677443420437	3.79085796112414
DH_KE0004	5.31118484927113	67.2159039828842	120.335715437954	83.1462737242952	0.969018286236249
DH_KE0005	6.31766344083786	75.434163225216	150.866069906307	71.0645419048821	1.7982269633434
DH_KE0006	5.14118812873338	65.6746107954876	124.163590633015	81.9058832792125	1.8020290630635
DH_KE0007	5.68313161293644	73.6262809591447	131.667737521712	82.0141224351643	8.90827284878294
DH_KE0008	6.32579860387556	87.2906355701299	167.257545743536	82.1846093534702	NA
DH_KE0010	3.40437019623109	55.0733169784979	133.172513810193	82.7780727902248	1.89863031755828
DH_KE0011	6.0023474529547	68.7131841065387	135.557503191359	81.9834660203892	1.10873182478854
DH_KE0012	6.94747649123516	84.9143612194254	122.402900091856	71.7030619347915	2.63767037783654
DH_KE0013	1.2607050674307	31.6822530673486	138.946364799294	91.6703096040733	7.1643360292454
DH_KE0014	5.33657563404593	70.8359845905248	151.428776969766	81.2553370611635	7.5394212639482
DH_KE0015	4.95681837441648	69.9208504150125	185.921966412837	82.0866009279621	5.98793109279527
DH_KE0017	5.48450203121036	72.4856526645391	164.973063608322	78.2084203795528	3.43954234384089
DH_KE0018	5.04732172972791	83.3435825807255	197.246835033574	82.1077503522797	2.42091178371576
DH_KE0020	4.85046445666792	64.6998049699759	134.361179502362	80.3442477420682	NA
DH_KE0024	6.59004648887828	84.7201730983714	182.554264999717	77.9835290278299	3.0378651155691
DH_KE0025	3.64842549412803	55.0481020883285	138.376774709324	86.3235928735185	4.1672085594765
DH_KE0026	5.21659710059782	75.1223320090968	140.368135696145	82.1450458847867	5.07534111399496
DH_KE0027	5.52367689139361	79.1831327154984	127.624017391547	68.7555975021593	0.986689337082882
DH_KE0028	5.4131263379512	76.4760335921284	145.695669767644	74.0984144569946	1.79331592542727
DH_KE0030	6.48377601734377	78.1780928102355	144.102860831699	70.7944686352424	2.04650689069491
DH_KE0031	6.42498142473983	73.6747903965154	126.583976266436	81.0023232542013	1.02092073107079
DH_KE0032	3.85479041525284	58.3312216366745	115.801908732308	74.5744197668452	6.16782306382964
DH_KE0033	5.16617118484036	70.3728171537512	159.305682447683	77.6357449226204	4.81751552020227
DH_KE0034	5.8445310772556	75.3180274447382	143.652509886071	75.8676492657342	1.21946358271314
DH_KE0035	5.9123752216464	86.3708144056306	152.091001049551	79.5050893879924	2.70415159502762
DH_KE0036	4.28026353906719	58.8816298418182	124.532151556239	83.5301896766211	6.46097116010965
DH_KE0037	4.98336357760269	62.0625540721713	141.339227998204	75.2560373016751	1.52835620665489
DH_KE0038	5.87751906777181	88.3076513892564	129.524084036565	87.1416575526194	7.62554553399443
DH_KE0039	5.48757488811973	72.7701041716112	123.403665976867	76.5243478639556	1.39265615453126
DH_KE0040	6.63999604899269	92.6213549155631	168.483481010383	69.0966995315044	1.13395037885597
DH_KE0041	5.73281090197272	78.6366730559717	139.066312611226	75.5301822305538	0.975338426489394
DH_KE0042	5.7898477415529	72.9626228529326	148.826170160852	77.5834513472593	1.69043654343255
DH_KE0043	6.87372980067048	73.446490026692	128.484876759876	74.0209249792065	2.92307854979384
DH_KE0045	4.76175602621602	66.2241959994952	98.1752921961453	75.7751676258393	1.05956489884429
