Genotype EME SE_EME EV_V3 SE_EV_V3 EV_V4 SE_EV_V4 EV_V6 SE_EV_V6 PH_V4 SE_PH_V4 PH_V6 SE_PH_V6 PH_final SE_PH_final EH SE_EH EarTasDist SE_EarTasDist DtSILK SE_DtSILK RL_R6 SE_RL_R6 TILL SE_TILL
EL_CH10 41.2356591034324 0.935264069593789 6.22947653365805 0.386457278328562 6.15884122967473 0.333746045991608 5.82832712948599 0.338791829172882 42.2004012723254 2.86250919556011 88.9608430828751 4.73345443344743 146.58204048511 9.16086636431357 57.0157898472655 6.70431375572437 92.5713762907575 5.5761739354629 73.4775084375571 1.69378095234863 1.13183031252576 0.577297500509891 NA NA
EL_D152 41.3668052961812 0.935263200239597 5.01028301895651 0.386438414544393 5.00281442898177 0.333728997586459 5.90752704011397 0.338773712588113 29.8791442537508 2.86248535988613 73.2421390400704 4.73338573256265 135.823635794093 9.16061561682041 50.5561667403712 6.70295726247887 93.0394398628676 5.57483750106826 74.4619569243473 1.69373158316007 1.07342487454033 0.577327139147531 NA NA
DH_KE0001 62.3740068162288 5.75403398190046 4.70661243383191 0.588577246793888 4.58667606630574 0.480387174376031 5.12799293492468 0.487796524350039 29.5215913856545 2.66007156343418 76.4345782632751 6.23222329611767 145.082978094948 12.4900888362046 82.9814912659104 9.02881432899544 85.7721908307794 7.34202279657713 74.3872151199473 2.42814982642944 7.35129997345383 0.992587528782606 3.46124411407594 0.736170000879869
DH_KE0002 75.9535025471086 5.75442294521929 5.21068722957551 0.588779790692224 5.55681955480943 0.480452304567188 5.74438024051868 0.487852695623375 32.1691138372246 2.66036754118234 68.1098844676722 6.23262882710811 131.953303787172 12.4905373675012 68.2859072933246 9.02751947833772 74.2179019067296 7.34048889688723 76.0266345657864 2.42828684539863 8.65482546007645 0.992545110739078 2.89214556215977 0.736215039986203
DH_KE0003 67.411947726383 5.75399339027724 4.63535229422229 0.588530157688367 5.09264986622248 0.480352321921521 5.42272351842733 0.487754481752696 29.0323703240595 2.65991757751229 72.1134092332044 6.23189911358256 164.26337506371 12.4894332775153 71.8990191563331 9.02712501959451 102.313861323573 7.34013027900274 73.7677443420437 2.42808772507761 3.79085796112414 0.992316938968733 0.947661103306995 0.736094075262776
DH_KE0004 72.1910672292496 5.75402297365109 4.51867996393009 0.58850573791363 4.79995643053309 0.48036003272013 5.31118484927113 0.487753964308673 26.6323615802005 2.65990372299684 67.2159039828842 6.23177966728382 120.335715437954 12.4895422091406 47.6015829686815 9.02876335814768 74.9144485580197 7.34240164176025 83.1462737242952 2.42813371740136 0.969018286236249 0.992371562022572 1.45835922698638 0.736216418982481
DH_KE0005 78.2915854983735 5.75422160541196 5.51939736295961 0.588620667355761 5.75688469620393 0.480422597683065 6.31766344083786 0.487827553393082 30.5805053830505 2.66022536668413 75.434163225216 6.23243225116139 150.866069906307 12.4904062485566 75.9326132012389 9.02906288264009 81.0014219126932 7.3419864584205 71.0645419048821 2.42821605936576 1.7982269633434 0.992695458305158 1.37518313040491 0.736139442215566
DH_KE0006 84.2385700129541 5.40397573538473 4.36211691240624 0.560144069644836 4.09861018080951 0.462628196953524 5.14118812873338 0.468028035770416 26.284659435921 2.59156739586546 65.6746107954876 6.12648397526416 124.163590633015 12.3563888707125 59.5665178302594 8.83985793252977 68.4562699804548 6.92469305861619 81.9058832792125 2.38535954828521 1.8020290630635 0.874217908240065 2.12040946923072 0.736343240806293
DH_KE0007 90.2912053462001 5.75415203687686 5.12275738619271 0.58859100382509 5.36705219052327 0.480404006684508 5.68313161293644 0.487812409291766 32.2640856773895 2.66016059439015 73.6262809591447 6.23234643168881 131.667737521712 12.4902587027715 57.968691044349 9.02897716467831 85.3868413299634 7.34203987859791 82.0141224351643 2.42816391136651 8.90827284878294 0.992260300528556 1.45695266446979 0.736215541393142
DH_KE0008 88.8938694742912 8.03612475138371 5.87478630426161 0.824704492642293 5.80152544265339 0.595803050579655 6.32579860387556 0.604639327795614 33.3717187983627 3.11288102106429 87.2906355701299 6.90051556853987 167.257545743536 13.6751507693097 78.7725183981723 10.3020243196077 97.6067003619975 9.60552762870046 82.1846093534702 2.74916037108919 NA NA 3.67059791760294 0.736167209223318
